Name,Longitude,Latitude,Ellipsoidal height,Orthometric Height ITG2009,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
runup1,8.24760687,44.11410235,47.232,1.849,Global,,0.01,0.01,0.01,0.014,1.934,m,FIX,RTK,2026-05-12 15:10:52.6 UTC+02:00,2026-05-12 15:10:52.6 UTC+02:00,1,1,1.2,,,,8.17005598,43.95796033,267.691,18431.179,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup2,8.24758365,44.11410693,47.284,1.901,Global,9,0.012,0.012,0.011,0.017,1.934,m,FIX,RTK,2026-05-12 15:12:21.8 UTC+02:00,2026-05-12 15:12:21.8 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18430.996,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup3,8.24760866,44.1141101,47.281,1.898,Global,2,0.012,0.012,0.013,0.017,1.934,m,FIX,RTK,2026-05-12 15:12:26.0 UTC+02:00,2026-05-12 15:12:26.0 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18432.031,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup4,8.24763109,44.11412023,47.249,1.866,Global,13,0.013,0.013,0.012,0.018,1.934,m,FIX,RTK,2026-05-12 15:12:29.6 UTC+02:00,2026-05-12 15:12:29.6 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18433.657,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup5,8.24763159,44.1141411,47.265,1.882,Global,12,0.012,0.012,0.011,0.017,1.934,m,FIX,RTK,2026-05-12 15:12:33.0 UTC+02:00,2026-05-12 15:12:33.0 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18435.867,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup6,8.24764937,44.11415463,47.231,1.848,Global,20,0.012,0.012,0.011,0.017,1.934,m,FIX,RTK,2026-05-12 15:12:36.2 UTC+02:00,2026-05-12 15:12:36.2 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18437.732,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup7,8.2476696,44.11418223,47.256,1.873,Global,47,0.015,0.015,0.014,0.021,1.934,m,FIX,RTK,2026-05-12 15:12:40.8 UTC+02:00,2026-05-12 15:12:40.8 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18441.083,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup8,8.2476636,44.11420702,47.243,1.86,Global,40,0.014,0.014,0.013,0.02,1.934,m,FIX,RTK,2026-05-12 15:12:45.0 UTC+02:00,2026-05-12 15:12:45.0 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18443.543,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup9,8.24765418,44.11422423,47.264,1.881,Global,54,0.013,0.013,0.013,0.018,1.934,m,FIX,RTK,2026-05-12 15:12:49.2 UTC+02:00,2026-05-12 15:12:49.2 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18445.024,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup10,8.24768302,44.11423294,47.237,1.854,Global,14,0.013,0.013,0.012,0.018,1.934,m,FIX,RTK,2026-05-12 15:12:53.0 UTC+02:00,2026-05-12 15:12:53.0 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18446.885,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
runup11,8.24769314,44.11426064,47.261,1.878,Global,40,0.012,0.012,0.013,0.017,1.934,m,FIX,RTK,2026-05-12 15:12:59.0 UTC+02:00,2026-05-12 15:12:59.0 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18449.932,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
runup12,8.24769194,44.11427854,47.275,1.892,Global,37,0.014,0.014,0.013,0.02,1.934,m,FIX,RTK,2026-05-12 15:13:02.6 UTC+02:00,2026-05-12 15:13:02.6 UTC+02:00,1,1.1,1.3,,,,8.17005598,43.95796033,267.691,18451.83,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
