Name,Longitude,Latitude,Ellipsoidal height,Orthometric Height ITG2009,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
transetto 1,8.24789999,44.11394979,46.097,0.714,Global,23,0.012,0.012,0.012,0.017,1.934,m,FIX,RTK,2026-05-12 15:17:31.8 UTC+02:00,2026-05-12 15:17:31.8 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18423.103,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 2,8.24789018,44.11395705,46.201,0.818,Global,27,0.012,0.012,0.013,0.017,1.934,m,FIX,RTK,2026-05-12 15:17:35.6 UTC+02:00,2026-05-12 15:17:35.6 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18423.666,CMEL00ITA0,SC globale,7,7,7,8,0,Reach RS3,82432F7080A04F72
transetto 3,8.2478783,44.11396687,46.359,0.976,Global,8,0.013,0.013,0.012,0.018,1.934,m,FIX,RTK,2026-05-12 15:17:38.4 UTC+02:00,2026-05-12 15:17:38.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18424.347,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 4,8.24786553,44.11397435,46.433,1.05,Global,16,0.014,0.014,0.013,0.02,1.934,m,FIX,RTK,2026-05-12 15:17:43.2 UTC+02:00,2026-05-12 15:17:43.2 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18424.803,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 5,8.24784691,44.11398362,46.543,1.16,Global,61,0.013,0.013,0.014,0.018,1.934,m,FIX,RTK,2026-05-12 15:17:47.0 UTC+02:00,2026-05-12 15:17:47.0 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18425.31,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 6,8.24782954,44.11399232,46.673,1.29,Global,36,0.012,0.012,0.013,0.018,1.934,m,FIX,RTK,2026-05-12 15:17:50.4 UTC+02:00,2026-05-12 15:17:50.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18425.709,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 7,8.24781284,44.11399996,46.815,1.432,Global,44,0.015,0.015,0.016,0.021,1.934,m,FIX,RTK,2026-05-12 15:17:53.4 UTC+02:00,2026-05-12 15:17:53.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18426.032,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 8,8.24779958,44.11400629,46.916,1.533,Global,13,0.012,0.012,0.012,0.017,1.934,m,FIX,RTK,2026-05-12 15:17:56.4 UTC+02:00,2026-05-12 15:17:56.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18426.388,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 9,8.24778733,44.11401186,47.017,1.634,Global,35,0.013,0.013,0.014,0.019,1.934,m,FIX,RTK,2026-05-12 15:17:59.0 UTC+02:00,2026-05-12 15:17:59.0 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18426.594,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 10,8.24777618,44.11401794,47.112,1.729,Global,47,0.012,0.012,0.014,0.018,1.934,m,FIX,RTK,2026-05-12 15:18:01.8 UTC+02:00,2026-05-12 15:18:01.8 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18426.896,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 11,8.24776427,44.11402384,47.18,1.797,Global,41,0.012,0.012,0.013,0.018,1.934,m,FIX,RTK,2026-05-12 15:18:04.6 UTC+02:00,2026-05-12 15:18:04.6 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18427.205,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 12,8.24775404,44.11402861,47.194,1.811,Global,27,0.012,0.012,0.012,0.017,1.934,m,FIX,RTK,2026-05-12 15:18:06.8 UTC+02:00,2026-05-12 15:18:06.8 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18427.475,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 13,8.24774355,44.11403411,47.142,1.759,Global,11,0.012,0.012,0.012,0.017,1.934,m,FIX,RTK,2026-05-12 15:18:09.6 UTC+02:00,2026-05-12 15:18:09.6 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18427.747,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 14,8.24773377,44.1140387,47.172,1.789,Global,29,0.012,0.012,0.013,0.017,1.934,m,FIX,RTK,2026-05-12 15:18:12.0 UTC+02:00,2026-05-12 15:18:12.0 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18427.904,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 15,8.24772204,44.11404509,47.128,1.745,Global,51,0.014,0.014,0.014,0.019,1.934,m,FIX,RTK,2026-05-12 15:18:14.8 UTC+02:00,2026-05-12 15:18:14.8 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18428.259,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 16,8.24771301,44.11404848,47.152,1.769,Global,55,0.013,0.013,0.014,0.019,1.934,m,FIX,RTK,2026-05-12 15:18:17.2 UTC+02:00,2026-05-12 15:18:17.2 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18428.34,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 17,8.24771694,44.11404611,47.141,1.758,Global,13,0.012,0.012,0.011,0.017,1.934,m,FIX,RTK,2026-05-12 15:19:42.2 UTC+02:00,2026-05-12 15:19:42.2 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18428.234,CMEL00ITA0,SC globale,7,7,7,7,0,Reach RS3,82432F7080A04F72
transetto 18,8.24770703,44.11405163,47.098,1.715,Global,23,0.013,0.013,0.013,0.018,1.934,m,FIX,RTK,2026-05-12 15:19:44.8 UTC+02:00,2026-05-12 15:19:44.8 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18428.546,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 19,8.24769382,44.11405846,47.138,1.755,Global,57,0.014,0.014,0.015,0.02,1.934,m,FIX,RTK,2026-05-12 15:19:47.2 UTC+02:00,2026-05-12 15:19:47.2 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18428.843,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 20,8.24768158,44.1140634,47.2,1.817,Global,64,0.018,0.018,0.017,0.025,1.934,m,FIX,RTK,2026-05-12 15:19:49.4 UTC+02:00,2026-05-12 15:19:49.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18429.068,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 21,8.2476737,44.11406664,47.205,1.822,Global,53,0.017,0.017,0.017,0.025,1.934,m,FIX,RTK,2026-05-12 15:19:51.0 UTC+02:00,2026-05-12 15:19:51.0 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18429.232,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 22,8.24766503,44.11407024,47.22,1.837,Global,60,0.016,0.016,0.017,0.023,1.934,m,FIX,RTK,2026-05-12 15:19:52.4 UTC+02:00,2026-05-12 15:19:52.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18429.362,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 23,8.24765642,44.11407387,47.208,1.825,Global,57,0.016,0.016,0.019,0.023,1.934,m,FIX,RTK,2026-05-12 15:19:54.0 UTC+02:00,2026-05-12 15:19:54.0 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18429.514,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 24,8.24764884,44.11407692,47.225,1.842,Global,54,0.016,0.016,0.018,0.023,1.934,m,FIX,RTK,2026-05-12 15:19:55.4 UTC+02:00,2026-05-12 15:19:55.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18429.637,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
