DATE;TIME;WaterLevel
20181028;11:00;0.48
20181028;11:10;0.54
20181028;11:20;0.51
20181028;11:30;0.47
20181028;11:40;0.54
20181028;11:50;0.49
20181028;12:00;0.47
20181028;12:10;0.47
20181028;12:20;0.46
20181028;12:30;0.46
20181028;12:40;0.44
20181028;12:50;0.41
20181028;13:00;0.46
20181028;13:10;0.44
20181028;13:20;0.38
20181028;13:30;0.44
20181028;13:40;0.39
20181028;13:50;0.37
20181028;14:00;0.40
20181028;14:10;0.34
20181028;14:20;0.40
20181028;14:30;0.33
20181028;14:40;0.34
20181028;14:50;0.37
20181028;15:00;0.32
20181028;15:10;0.33
20181028;15:20;0.33
20181028;15:30;0.28
20181028;15:40;0.33
20181028;15:50;0.33
20181028;16:00;0.29
20181028;16:10;0.33
20181028;16:20;0.37
20181028;16:30;0.35
20181028;16:40;0.32
20181028;16:50;0.33
20181028;17:00;0.36
20181028;17:10;0.29
20181028;17:20;0.32
20181028;17:30;0.33
20181028;17:40;0.30
20181028;17:50;0.37
20181028;18:00;0.30
20181028;18:10;0.34
20181028;18:20;0.37
20181028;18:30;0.33
20181028;18:40;0.36
20181028;18:50;0.37
20181028;19:00;0.36
20181028;19:10;0.38
20181028;19:20;0.44
20181028;19:30;0.39
20181028;19:40;0.42
20181028;19:50;0.43
20181028;20:00;0.42
20181028;20:10;0.43
20181028;20:20;0.45
20181028;20:30;0.41
20181028;20:40;0.44
20181028;20:50;0.44
20181028;21:00;0.44
20181028;21:10;0.44
20181028;21:20;0.47
20181028;21:30;0.45
20181028;21:40;0.42
20181028;21:50;0.50
20181028;22:00;0.44
20181028;22:10;0.42
20181028;22:20;0.47
20181028;22:30;0.41
20181028;22:40;0.42
20181028;22:50;0.47
20181028;23:00;0.40
20181028;23:10;0.44
20181028;23:20;0.40
20181028;23:30;0.40
20181028;23:40;0.42
20181028;23:50;0.36
20181029;00:00;0.40
20181029;00:10;0.40
20181029;00:20;0.36
20181029;00:30;0.37
20181029;00:40;0.39
20181029;00:50;0.36
20181029;01:00;0.37
20181029;01:10;0.37
20181029;01:20;0.31
20181029;01:30;0.35
20181029;01:40;0.32
20181029;01:50;0.32
20181029;02:00;0.31
20181029;02:10;0.31
20181029;02:20;0.35
20181029;02:30;0.30
20181029;02:40;0.33
20181029;02:50;0.33
20181029;03:00;0.31
20181029;03:10;0.35
20181029;03:20;0.29
20181029;03:30;0.31
20181029;03:40;0.29
20181029;03:50;0.28
20181029;04:00;0.32
20181029;04:10;0.31
